,boyname,boyfreq
695,Bridger,0.00011200000000000001
696,Bjorn,0.00011200000000000001
697,Lyric,0.00011200000000000001
698,Marley,0.00011100000000000001
699,Ernest,0.00011
700,Ignacio,0.00011
701,Rocky,0.00011
702,Gatlin,0.000109
703,Vaughn,0.000109
704,Randall,0.000109
705,Louie,0.000109
706,Reign,0.000109
707,Reagan,0.00010800000000000001
708,Javon,0.00010800000000000001
709,Simeon,0.00010800000000000001
710,Seamus,0.00010700000000000001
711,Ledger,0.00010700000000000001
712,Avi,0.00010700000000000001
713,Yadiel,0.00010700000000000001
714,Maddux,0.00010700000000000001
715,Jeremias,0.000106
716,Dominique,0.000106
717,Cedric,0.000106
718,Rashad,0.000106
719,Santos,0.000105
720,Gianluca,0.000105
721,Yisroel,0.000105
722,Craig,0.000105
723,Jovanni,0.000105
724,Eliezer,0.00010400000000000001
725,Giancarlo,0.00010400000000000001
726,Bishop,0.00010400000000000001
727,Decker,0.000103
728,Camron,0.000103
729,Alaric,0.000103
730,Lyle,0.000103
731,Tyrone,0.000103
732,Howard,0.000102
